id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
53527701,LinkHouse: YOUR BEAUTIFUL PENTHOUSE WITH PRIVATE BACKYARD IN COPACABANA #C1-004,341248628,Linkhouse,,Copacabana,-22.9669,-43.18187,Entire home/apt,604,1,4,2022-01-25,0.66,20,8,4,
53527757,Loft em Copacabana,198136718,Gabriela,,Copacabana,-22.97225,-43.18833,Entire home/apt,120,2,20,2022-05-23,3.03,1,92,20,
53457596,Casa agradável em são Conrado,432867849,Fabio,,Vidigal,-22.99668,-43.23849,Entire home/apt,220,15,0,,,1,364,0,
53457708,Aconchegante vista mar,248720579,Jucelia,,Copacabana,-22.97903,-43.18907,Entire home/apt,340,5,0,,,5,0,0,
53458614,Studio Arpoador Posto 7,422583237,Luis Henrique,,Copacabana,-22.98567,-43.19183,Entire home/apt,196,7,1,2021-12-10,0.15,7,180,1,
53459199,Apartamento encantador em Ipanema,432886906,Camilo,,Ipanema,-22.9829,-43.20546,Entire home/apt,480,4,0,,,1,183,0,
53527806,Ano novo em Copacabana,8477603,Pamela,,Copacabana,-22.98252,-43.1947,Private room,170,3,0,,,5,0,0,
53400218,Copacabana Comfort Studio,92162146,Vitoria,,Copacabana,-22.96448,-43.17561,Entire home/apt,141,4,16,2022-06-06,2.47,1,176,16,
53528745,SUPER OFFER Wanderlust - Infinite Blue Sensation,391116870,N.,,Barra da Tijuca,-23.01176,-43.31589,Private room,812,12,0,,,4,365,0,
53529379,Ap. ao lado do Maracanã (coração de Vila Isabel),246791435,Gibran,,Vila Isabel,-22.91305,-43.2391,Entire home/apt,397,3,1,2022-01-03,0.18,1,364,1,
53459245,Localização privilegiada em Copacabana,432887639,Carmem,,Copacabana,-22.974787,-43.189774,Entire home/apt,414,2,3,2022-02-21,0.52,1,159,3,
53459335,Casa com vista para Lagoa e Cristo Redentor,432887716,Gui,,Lagoa,-22.96467,-43.1996,Entire home/apt,2400,3,0,,,1,365,0,
53459627,"Apto em Copa, próx.Posto 3 e a uma quadra do metrô",73938486,Allane,,Copacabana,-22.9683,-43.1855,Entire home/apt,520,7,1,2022-01-02,0.18,1,0,1,
53459980,JUMPINBED Copacabana 8 -Apartamento com 2 quartos esquina com a Praia,397106841,Jumpers,,Copacabana,-22.98324,-43.19136,Entire home/apt,1100,1,0,,,15,234,0,
53400915,Apto 2 Quartos Confortável Próximo Copacabana,59443617,Marcos,,Catete,-22.930174,-43.178288,Entire home/apt,126,4,15,2022-06-14,2.49,1,48,15,
